# Time M1 M2 x1 y1 z1 x2 y2 z2 chi_1_x chi_1_y chi_1_z chi_2_x chi_2_y chi_2_z vx1 vy1 vz1 vx2 vy2 vz2
2.2770263553218817e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9645745014573794e+00 -3.7476262917143799e-01 0.0000000000000000e+00 1.9645745014573794e+00 3.7476262917143799e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 4.6845328646429749e-02 -2.4557181268217243e-01 0.0000000000000000e+00 -4.6845328646429749e-02 2.4557181268217243e-01 0.0000000000000000e+00
2.2795396294447536e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9518335238774966e+00 -4.3628648279307702e-01 0.0000000000000000e+00 1.9518335238774966e+00 4.3628648279307702e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 5.4535810349134628e-02 -2.4397919048468708e-01 0.0000000000000000e+00 -5.4535810349134628e-02 2.4397919048468708e-01 0.0000000000000000e+00
2.2820529035676256e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9371663222572635e+00 -4.9737977432970465e-01 0.0000000000000000e+00 1.9371663222572635e+00 4.9737977432970465e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 6.2172471791213081e-02 -2.4214579028215794e-01 0.0000000000000000e+00 -6.2172471791213081e-02 2.4214579028215794e-01 0.0000000000000000e+00
2.2845661776904976e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9205873713538866e+00 -5.5798221207845666e-01 0.0000000000000000e+00 1.9205873713538866e+00 5.5798221207845666e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 6.9747776509807083e-02 -2.4007342141923582e-01 0.0000000000000000e+00 -6.9747776509807083e-02 2.4007342141923582e-01 0.0000000000000000e+00
2.2870794518133692e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.9021130325903088e+00 -6.1803398874988935e-01 0.0000000000000000e+00 1.9021130325903088e+00 6.1803398874988935e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 7.7254248593736169e-02 -2.3776412907378860e-01 0.0000000000000000e+00 -7.7254248593736169e-02 2.3776412907378860e-01 0.0000000000000000e+00
2.2895927259362409e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.8817615379084542e+00 -6.7747584049057363e-01 0.0000000000000000e+00 1.8817615379084542e+00 6.7747584049057363e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 8.4684480061321704e-02 -2.3522019223855678e-01 0.0000000000000000e+00 -8.4684480061321704e-02 2.3522019223855678e-01 0.0000000000000000e+00
2.2921060000591129e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.8595529717765051e+00 -7.3624910536934984e-01 0.0000000000000000e+00 1.8595529717765051e+00 7.3624910536934984e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 9.2031138171168730e-02 -2.3244412147206314e-01 0.0000000000000000e+00 -9.2031138171168730e-02 2.3244412147206314e-01 0.0000000000000000e+00
2.2946192741819848e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.8355092513679636e+00 -7.9429578126955824e-01 0.0000000000000000e+00 1.8355092513679636e+00 7.9429578126955824e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 9.9286972658694780e-02 -2.2943865642099545e-01 0.0000000000000000e+00 -9.9286972658694780e-02 2.2943865642099545e-01 0.0000000000000000e+00
2.2971325483048565e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.8096541049320420e+00 -8.5155858313013877e-01 0.0000000000000000e+00 1.8096541049320420e+00 8.5155858313013877e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.0644482289126735e-01 -2.2620676311650526e-01 0.0000000000000000e+00 -1.0644482289126735e-01 2.2620676311650526e-01 0.0000000000000000e+00
2.2996458224277282e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.7820130483767407e+00 -9.0798099947908373e-01 0.0000000000000000e+00 1.7820130483767407e+00 9.0798099947908373e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.1349762493488547e-01 -2.2275163104709259e-01 0.0000000000000000e+00 -1.1349762493488547e-01 2.2275163104709259e-01 0.0000000000000000e+00
2.3021590965506002e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.7526133600877309e+00 -9.6350734820342365e-01 0.0000000000000000e+00 1.7526133600877309e+00 9.6350734820342365e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.2043841852542796e-01 -2.1907667001096637e-01 0.0000000000000000e+00 -1.2043841852542796e-01 2.1907667001096637e-01 0.0000000000000000e+00
2.3046723706734721e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.7214840540078897e+00 -1.0180828315007386e+00 0.0000000000000000e+00 1.7214840540078897e+00 1.0180828315007386e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.2726035393759233e-01 -2.1518550675098622e-01 0.0000000000000000e+00 -1.2726035393759233e-01 2.1518550675098622e-01 0.0000000000000000e+00
2.3071856447963438e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.6886558510040348e+00 -1.0716535899579860e+00 0.0000000000000000e+00 1.6886558510040348e+00 1.0716535899579860e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.3395669874474825e-01 -2.1108198137550435e-01 0.0000000000000000e+00 -1.3395669874474825e-01 2.1108198137550435e-01 0.0000000000000000e+00
2.3096989189192155e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.6541611485491308e+00 -1.1241667557042507e+00 0.0000000000000000e+00 1.6541611485491308e+00 1.1241667557042507e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.4052084446303134e-01 -2.0677014356864135e-01 0.0000000000000000e+00 -1.4052084446303134e-01 2.0677014356864135e-01 0.0000000000000000e+00
2.3122121930420874e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.6180339887499005e+00 -1.1755705045849387e+00 0.0000000000000000e+00 1.6180339887499005e+00 1.1755705045849387e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.4694631307311734e-01 -2.0225424859373756e-01 0.0000000000000000e+00 -1.4694631307311734e-01 2.0225424859373756e-01 0.0000000000000000e+00
2.3147254671649594e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.5803100247513846e+00 -1.2258141073059481e+00 0.0000000000000000e+00 1.5803100247513846e+00 1.2258141073059481e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.5322676341324351e-01 -1.9753875309392308e-01 0.0000000000000000e+00 -1.5322676341324351e-01 1.9753875309392308e-01 0.0000000000000000e+00
2.3172387412878311e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.5410264855515849e+00 -1.2748479794973717e+00 0.0000000000000000e+00 1.5410264855515849e+00 1.2748479794973717e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.5935599743717146e-01 -1.9262831069394812e-01 0.0000000000000000e+00 -1.5935599743717146e-01 1.9262831069394812e-01 0.0000000000000000e+00
2.3197520154107028e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.5002221392609283e+00 -1.3226237306472932e+00 0.0000000000000000e+00 1.5002221392609283e+00 1.3226237306472932e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.6532796633091165e-01 -1.8752776740761604e-01 0.0000000000000000e+00 -1.6532796633091165e-01 1.8752776740761604e-01 0.0000000000000000e+00
2.3222652895335747e+02 5.0000000000000000e-01 5.0000000000000000e-01 -1.4579372548428304e+00 -1.3690942118573695e+00 0.0000000000000000e+00 1.4579372548428304e+00 1.3690942118573695e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 1.7113677648217118e-01 -1.8224215685535380e-01 0.0000000000000000e+00 -1.7113677648217118e-01 1.8224215685535380e-01 0.0000000000000000e+00
