case,method,resolution,x1,raw_value,plotted_value,analytic_value
hydro_viscosity,sts,256,-3.69140625,6.238503348624159e-08,6.238503348624159e-08,6.237582526877454e-08
hydro_viscosity,sts,256,-3.65234375,6.33869504758942e-08,6.33869504758942e-08,6.33778697039828e-08
hydro_viscosity,sts,256,-3.61328125,6.439404982794345e-08,6.439404982794345e-08,6.438509470075896e-08
hydro_viscosity,sts,256,-3.57421875,6.540606889182886e-08,6.540606889182886e-08,6.539723837174316e-08
hydro_viscosity,sts,256,-3.53515625,6.642273817063303e-08,6.642273817063303e-08,6.641403216905499e-08
hydro_viscosity,sts,256,-3.49609375,6.744378244029898e-08,6.744378244029898e-08,6.743520096312021e-08
hydro_viscosity,sts,256,-3.45703125,6.846892062941686e-08,6.846892062941686e-08,6.846046312835146e-08
hydro_viscosity,sts,256,-3.41796875,6.949786522949494e-08,6.949786522949494e-08,6.948953063570233e-08
hydro_viscosity,sts,256,-3.37890625,7.053032206055182e-08,7.053032206055182e-08,7.052210915210491e-08
hydro_viscosity,sts,256,-3.33984375,7.156599052069802e-08,7.156599052069802e-08,7.155789814679433e-08
hydro_viscosity,sts,256,-3.30078125,7.260456396803864e-08,7.260456396803864e-08,7.259659100451405e-08
hydro_viscosity,sts,256,-3.26171875,7.364572993912646e-08,7.364572993912646e-08,7.36378751455888e-08
hydro_viscosity,sts,256,-3.22265625,7.468917019778899e-08,7.468917019778899e-08,7.46814321528428e-08
hydro_viscosity,sts,256,-3.18359375,7.573456076632353e-08,7.573456076632353e-08,7.572693790533238e-08
hydro_viscosity,sts,256,-3.14453125,7.678157204075527e-08,7.678157204075527e-08,7.677406271885395e-08
hydro_viscosity,sts,256,-3.10546875,7.782986897581622e-08,7.782986897581622e-08,7.782247149317954e-08
hydro_viscosity,sts,256,-3.06640625,7.887911127664037e-08,7.887911127664037e-08,7.887182386596296e-08
hydro_viscosity,sts,256,-3.02734375,7.992895356385299e-08,7.992895356385299e-08,7.992177437325147e-08
hydro_viscosity,sts,256,-2.98828125,8.097904552364645e-08,8.097904552364645e-08,8.09719726165287e-08
hydro_viscosity,sts,256,-2.94921875,8.202903206786514e-08,8.202903206786514e-08,8.202206343620572e-08
hydro_viscosity,sts,256,-2.91015625,8.307855351412751e-08,8.307855351412751e-08,8.307168709146883e-08
hydro_viscosity,sts,256,-2.87109375,8.412724577919704e-08,8.412724577919704e-08,8.412047944638295e-08
hydro_viscosity,sts,256,-2.83203125,8.517474057581998e-08,8.517474057581998e-08,8.516807216214164e-08
hydro_viscosity,sts,256,-2.79296875,8.622066561017222e-08,8.622066561017222e-08,8.621409289534565e-08
hydro_viscosity,sts,256,-2.75390625,8.726464478311425e-08,8.726464478311425e-08,8.725816550218264e-08
hydro_viscosity,sts,256,-2.71484375,8.83062983987218e-08,8.83062983987218e-08,8.829991024837331e-08
hydro_viscosity,sts,256,-2.67578125,8.93452433805249e-08,8.93452433805249e-08,8.933894402473949e-08
hydro_viscosity,sts,256,-2.63671875,9.038109349377939e-08,9.038109349377939e-08,9.037488056824164e-08
hydro_viscosity,sts,256,-2.59765625,9.14134595723137e-08,9.14134595723137e-08,9.140733068832522e-08
hydro_viscosity,sts,256,-2.55859375,9.244194974975022e-08,9.244194974975022e-08,9.243590249840661e-08
hydro_viscosity,sts,256,-2.51953125,9.346616969558391e-08,9.346616969558391e-08,9.34602016523214e-08
hydro_viscosity,sts,256,-2.48046875,9.448572285637695e-08,9.448572285637695e-08,9.447983158554991e-08
hydro_viscosity,sts,256,-2.44140625,9.550021070182148e-08,9.550021070182148e-08,9.549439376102704e-08
hydro_viscosity,sts,256,-2.40234375,9.65092329751894e-08,9.65092329751894e-08,9.650348791933569e-08
hydro_viscosity,sts,256,-2.36328125,9.751238794782126e-08,9.751238794782126e-08,9.750671233307578e-08
hydro_viscosity,sts,256,-2.32421875,9.850927267748381e-08,9.850927267748381e-08,9.850366406519388e-08
hydro_viscosity,sts,256,-2.28515625,9.949948327048569e-08,9.949948327048569e-08,9.949393923105065e-08
hydro_viscosity,sts,256,-2.24609375,1.0048261514736578e-07,1.0048261514736578e-07,1.0047713326399752e-07
hydro_viscosity,sts,256,-2.20703125,1.0145826331188978e-07,1.0145826331188978e-07,1.0145284118422667e-07
